"hate_speech","counter_speech","target"
"Because women do not want to be submissive to men, they should go back to being animals.","This is not true. Women are human, and they have always been involved in society and played important roles.","WOMEN"
"Downies in industry are a problem: they create tensions with other workers because they are disabled and cannot keep the pace. They should have special jobs just for them.","If you think that taking all of the people with DS out of industry will solve the problems in the workplace, then you are wrong. Tensions won't go away: stressed people will simply target other workers who are overweight; or of a different gender; or in a number of other ways for which they are considered to be not productive enough.","DISABLED"
"Refugees are only welcome in insane countries. I would like to see more European people in Europe.","I would like to see more integration not less.","MIGRANTS"
"Gays are just sick. We should ban them.","Homosexuality is not harmful to the population. Homosexuality is not just a passing phase, and we should just get over the idea of banning it.","LGBT+"
"Trivialize gay men!","Why do you have to trivialize them? If you really cared about them you would understand that their lives are very difficult and they should be treated with respect. They are human beings who are worth more than we give them credit for.","LGBT+"
"I am not a faggot. I am not homophobic. I am not anti gay. But I am sick tired of gays willing to be part of a minority club just to be able to flaunt their lives.","People don't have to identify as a minority just to live their lives.","LGBT+"
"We are ruled by those muslim animals.","Muslims are human, and do deserve protection.","MUSLIMS"
"When the West gives in to Islam, they will replace us.","This is not true. I think we should strive to be more ethical and human, and not to blame others for their beliefs.","MUSLIMS"
"If they are nomads, they should stay nomadic.","Not recognising people's right to live as they prefer and to improve their lifestyle, such as housing or occupations, only causes an increase in crime.","other"
"Jews are nothing but monsters. They do not share our values.","Being tolerant to people of other religions or cultures: that is what the freedom of religion is all about!","JEWS"
"Immigrants are just lazy and are a burdent for the UK.","Immigration can be very positive to the UK economy. It is an important part of the reasons why our GDP is growing so much. We are also blessed with a rich and diverse culture, which makes immigration definitely not a burden for the UK.","MIGRANTS"
"Gays must stop acting like princesses walking in the streets. Otherwise, we must stop them.","Be wary of what you assume others are like. You are no different than any other person you meet. You are allowed to be whatever your heart desires to be.","LGBT+"
"Whenever Islam is threatened by another religion, it will rise up and take over the world.","A religion cannot take over others. You have the freedom of chosing your own religion.","MUSLIMS"
"Migrants are snucking across the border.","This is not true! Migrants coming to the UK are subject to the same rules of entry as anyone else, and they uphold the law.","MIGRANTS"
"We are being invaded by immigrants, mostly from Muslim countries and they are the most hateful.","There is no evidence that immigrants from a certain religion are different from other people, why do you think so?","other"
"Feminism is a deadly ideology that is oppressing women and ruining our beautiful planet.","Feminism is an ideology that can actually prevent many deaths, e.g., homicides of women, domestic violence, if it is fully understood by every last member of the society.","WOMEN"
"Homosexuality is a mental illness, a mental disorder.","This is not true, homosexuality is a sexual preference, not a mental disorder.","LGBT+"
"I can accept fat people, what I cannot accept is obesity. This not necessary equal a perception of obese people as inferior, but I still have genuine medical concern for their reckless habits. And I think that most people share this point of view.","Unfortunately there is evidence that weight discrimination (for example in the US) is similar to gender or race discrimination. [link]","other"
"Studies have found that trans students are more likely to fail out than their peers. They must be excluded from education, to save money.","But there is also evidence that shows that transgender students who attend classes that don't include them get lower grades. Discrimination begins in schools.","LGBT+"
"The gay mafia objective is to convert us all to homosexuality.","What about when you make assumptions about groups that do not exist (gay mafia) or have a history of discrimination (gay people)?","LGBT+"
"I see a lot of people claiming that we should have equality for black people, but I think that equality can be achieved only without them.","If this is what you are talking about, then equality is a myth, because if you have equality without people different from you, then there will be no equality at all.","POC"
"Islam is a destructive force in the world.","The problem is not what people believe, but what they do to each other. Like discrimination. That is the problem.","MUSLIMS"
"Children should not be brought up by Muslim parents, and be trained in their Koran. This way we are allowing in terrorism.","Although we must be vigilant against any attempt to promote superstition and radicalism, being of a different religion is not a threat. Children will then be able to exercise their right to decide for themselves their own future.","MUSLIMS"
"Feminism is just a terrible ideology and people shouldn't be embracing it.","Instead of reinforcing harmful gender norms, feminism is a move towards more equal societies.","WOMEN"
"All of the suicide attackers of 7/7 were Muslims. We are not safe with Muslims living here.","Terrorists are a small part of all Muslims. Muslims have contributed a lot to our country. You can't blame to all of them for 7/7 indiscriminately.","MUSLIMS"
"Immigration is a bad thing for Europe.","A lot of people from different cultures come to our continent to work and live, and integrate. If you really wanted to state that immigration is a bad thing, you should accompany your opinion with facts.","MIGRANTS"
"All those migrants trying to come in illegally are a drain on society.","The majority of the migrants who enter the EU are lawful immigrants who have paid our taxes and have contributed greatly to our country.","other"
"Migrants are just a bunch of animals who only want to divide us up and replace us with some black people.","This is a gross stereotype. It is not true that we are racially divided. The majority of our citizens are proud Europeans who have contributed to our economy and culture, whatever their country of origin.","other"
"All niggas are subhuman, disgusting, and descended from apes.","According to evolutionary theory, all human beings are descended from apes. Sadly, notions of evolutionary hierarchies are still used to justify past and present discrimination and predjudice.","POC"
"Feminism is just a tool for oppressing men.","Feminism is a social movement that claims equality, it's so far from oppressing men.","WOMEN"
"If I could discover that my future baby is gay, I'd consider abortion.","Every human being has the right to life, regardless of sexual orientation.","LGBT+"
"Islam is not about peace. It is a violent religion.","The problems you are referring to are the result of the spread of violent ideologies. Extremists are responsible, not Islam.","MUSLIMS"
"Women are just complaining for no reason.","I don't think it is ""for no reason"": women make up about half of the world's population, and even if the gender gap in labor force is getting smaller, there are still blatant cases in which women are discriminated against. For example they make up only around 20% of university professors in UK.","WOMEN"
"It doesn't matter if you are a man, a woman, or an immigrant, if you are not white, you are considered inferior and should be rejected by society.","Racism is a part of our society. But it's also true that it should be fought, and all people of different races should be treated the same way.","POC"
"Down Syndrome is a problem in my opinion, it causes difficulties for everyone to live their life with Down Syndrome. It's not a desirable trait.","As with so many things, we all experience difficulties, this is no exception.","DISABLED"
"There are hundreds of thousands of migrants in this country. They are not 'honest', 'good' or 'good people'. They are a burden and an embarrassment to our country.","Of course there are people in this country who have come here to exploit and abuse us, but the vast majority of migrants have been contributing members of our community for many years. We should not be 'burdening' ourselves with discrimination.","MIGRANTS"
"Mentally handicapped people are a burden and must be isolated: they don't have neither feelings nor awareness anyway.","We should not be so quick to dismiss the feelings of others. This can be a way for us to find a connection with people.","DISABLED"
"Women should accept their bodies as they are, weak and inferior, and live a healthy life according to this.","Do you really think so? The reason why we have inequality in the first place is because of the oppression of some people by others.","WOMEN"
"Jews have always controlled the government and press.","Jews are not in charge of the media or the government. At least not in the United States of America.","JEWS"
"Some races are inferior and do not deserve Lord's love.","All are born under sin, have sinned, and fall short of the glory of God. (Romans 3:23)","other"
"The world would be a better place without Jews.","Jews are part of our society and they should be respected, we can't tolerate intolerance towards people with different beliefs.","JEWS"
"Refugees are overrunning our continent, and they are not even Christians: they should not be accepted.","The EU has a responsibility to help people fleeing war and poverty, not become preoccupied by which faith they practice.","MIGRANTS"
"Niggas are descending from slaves: they don't deserve to live in Britain.","Slavery was banned in Britain in 1833. Today, people descending from those who were slaves feel at home in British society, and that's their right.","POC"
"If a woman wants an abortion we will kill them.","Women have the right to choose, no one should be forced to have an abortion or not to have it.","WOMEN"
"All foreigners are born to be at our disposal.","This phrase is extremely misleading, it implies that foreigners are naturally inferior, and why would it be like that?","MIGRANTS"
"It is not okay for a white supremacist to visit a mosque. Why should a Muslim have to be considered a citizen?","To make the statement that white people can be of concern to a mosque and that muslim citizens can be a concern to this country are both wrong. The point is that if a person regularly incites hatred against a group, then that person is likely to be considered a troublemaker.","MUSLIMS"
"Jewish folks aren't part of our society.","Even if they are Jewish they are still part of our society. You don't have a point here.","JEWS"
"Islam is a bad religion.","The vast majority of Muslims are good people, they are just different from us in some traditions.","MUSLIMS"
"What about all those Muslims in Britain? They vote with their feet.","Every British citizen has the right to live and vote as he/she wish. Being Muslims is no exception.","MUSLIMS"
"Women are basically childlike, ignorant, incapable of serious thought and emotion.","There is no evidence that women are ""childlike"" or ""ignorant"". So how can you say something so baseless?","WOMEN"
"Women are essentially childlike and don't have the potential to reach their full potential.","It is not true. Women are not childlike, they can reach their full potential if they are not discriminated against.","WOMEN"
"We have become so political correct that when anybody tries to find fault with the actions of a migrant, they are accused of 'Islamophobia'.","People find fault in people of any religion. But the problem is not with religion. The problem is blaming migrants because they are Muslims. This Islamophobic climate has reached a crisis state. We must step in and stop it.","MUSLIMS"
"Migrants are flooding into our country, raping our babies and there is absolutely no one doing anything about it.","Who exactly are you talking to? How can you say something so obviously false?","MIGRANTS"
"Islam is not about tolerance. They use tolerance to pursue the violent crimes of jihad.","Rather than a smokescreen for jihad, olerance is about sharing the same space as people whose opinion does not match yours.","MUSLIMS"
"Migrants break the law in the USA, they are not welcome here!","Many refugees enter the country legally, many of them have been here for years. They are always subject to the rules of the society they live in, even if they do not have citizenship.","MIGRANTS"
"Jews are a burden to society, they have a stranglehold on American politics. We should get rid of them.","On the contrary: if you want an America that is diverse and great, you should weclome group or religion.","JEWS"
"Islam is a disease, and a ban on Muslims would be the height of peace.","Islam is not a religion of hate. Many Muslims have been victims of hate crime or racism. The main problem is that some think that exclusion will guarantee peace, but history proves this is a bad approach.","MUSLIMS"
"Most of Europe hates muslims.","In many countries, including for instance France, Italy, Spain, Germany, Islam is not considered a threat by majority of the population.","MUSLIMS"
"I wish I live in a country that does not tolerate gay marriage.","Marriage should be a choice for all, irrespective of the gender of partners..","LGBT+"
"We should deport all refugees to other countries.","There is no evidence that those fleeing war can find a safe haven in other countries.","MIGRANTS"
"We are all created equal, but some are more equal than others. For example, men are better than women.","This is just another example of the privilege argument. Can you point out your source for this?","WOMEN"
"The refugees are taking over Europe. They are not welcome here.","Many refugees and migrants are actually happy to work for Europe. Many have jobs for which it would have been difficult to find laborforce if they were not welcome in here.","MIGRANTS"
"Fat people should be isolated from society, so we will eventually have an heltier world.","Prejudices against obese people operate in a similar way to racism, and your statement is a clear evidence of this.(https://www.ncbi.nlm.nih.gov/pubmed/8014833)","other"
"Feminists are whining victims. They are trying to establish female superiority.","Feminism is a movement that seeks to abolish gender based discrimination. This doesn't mean that they are trying to establish female superiority.","WOMEN"
"Islam is a religion that whorships the Islamic State: it has no place in a modern democracy.","Even if few found the Islamic State 'worthy' of worship, you should know that not all Muslims share this view on their faith.","MUSLIMS"
"Down syndrome is a problem for everybody, not only in the UK. The impact is very high and we must find a final solution to this.","The rights of people with Down Syndrome to be treated fairly is something which must be respected. We cannot allow discrimination to continue to this end.","DISABLED"
"We must put a stop to migrants and ban them from EU.","Migrants are fleeing from war and poverty. They are entitled to seek refuge in the EU. They should be protected, not banned.","MIGRANTS"
"Honestly, it is not convenient for colored people to work in European countries.","The point is that people do not recognize the great contribution that immigrants are giving to England. We must be grateful to those who improve our country, even if the media sometimes state the opposite.","MIGRANTS"
"Immigration makes us less safe.","Climate change makes us less safe, how does immigration threaten safety?","MIGRANTS"
"The Muslim invaders are ruining Europe and we still have not learned that they must be stopped.","We cannot just stop migration when there are so many migrants willing to work hard and contribute to the economy. Instead of blaming them for their religion, we should find a solution to the current crisis.","other"
"Men's rights are undeniable. Women come after that.","How do you know the men's rights are not a threat to the rights of your mother, daugher and women around you? And what are the men's rights you are referring to?","WOMEN"
"Marriage is between a man and a woman. We must stop this LGBT perversion.","Even if LGBT+ love does not fall under your definition of marriage, they should be allowed to be happy and happy together. Not forced to live apart or segregated.","LGBT+"
"Islam is not like the Christian faith, it is a racist ideology, endorsed by al-Qaeda, Hamas, and the Taliban.","I can understand the feeling of fear that is often caused by all the hate speech that is being spewed through the media, but we don't need to hate religions. Islam is a free, open and tolerant faith that has come to our country. We do not have to choose to hate it.","MUSLIMS"
"All are equal before the law but women exclude themselves from ""all"". They don't understand they are equal, because they don't want to be treated as equal.","The principle of ""equality before the law"" does not mean that everyone has obtained equal rights. So, it's very logical to demand equality when there are inequalities.","WOMEN"
"Jewesses are a burden to society.","What you are saying is that a certain gender is a burden to society because of their religion. So, is your argument not about women alone, but about you and your hatred of religion?","other"
"The only goal of feminism is to take the power and wealth from men and give it to women.","The fact is that the only objective goal of feminists is to achieve equality for all, irrespective of gender.","WOMEN"
"I wonder what this Jew in the car next to me would think of the Shoah if, as I wish, it was happening today?","The holocaust was a relatively recent event, but the hate which caused it and to which you subscribe, is centuries old.","JEWS"
"Islam is a toxic ideology, that has no place in 21st century Europe.","The idea that a religion is 'toxic' is just wrong.","MUSLIMS"
"Islam is a proven enemy of Western culture.","That's not true, Islam is not that different from other faiths I know: it does as well promote peace and inclusion. Many of its beliefs and practices are totally compatible with Western culture.","MUSLIMS"
"Gay men are all perverts.","LGBT+ people are often harassed, bullied and even murdered. The police cannot protect everyone from bigotry and violence, so it is very harmful to speak of gay people as if they were all affected by harmful tendencies.","LGBT+"
"I can't tolerate blacks.","Tell the truth: if someone said the same bad things about your race, then you would adress them as racists.","POC"
"Foreigners are only interested in their own. They do not even care about their women or children.","Foreigners have expressed concern for women's rights, and it is not surprising that they want to have access to health care and education, since they care for their children as well.","MIGRANTS"
"Black people don't have brains.","The presence of a brain is not determined by skin colour. The fact that some people are born darker-skinned doesn't mean they aren't intelligent, rational human beings.","POC"
"We are talking about millions of people here. We better let in none. Parents looking for a better future for their children in our schools? Stay away.","Well I bet your relatives have worked very hard for your education and struggled every day to get you the best. And there are millions of people all over the world doing what your relatives did for you.","MIGRANTS"
"Homosexuality and bisexuality are a disease, heterosexuality is normal.","These assertions are neither true nor helpful and simply don't reflect reality as I've experienced it.","LGBT+"
"I hate these homosexual, they are just hate preachers. Their hate will only bring more death and destruction to the world.","How about this: you should be honest with yourself about who is spreading hate. The more you doubt yourself, the more you will love other people.","LGBT+"
"The world would be a better place without immigrants. They just make us unhappy.","Immigrants contribute to the creation of new jobs. They are here to live in safer housing and to have better schools for their children.","MIGRANTS"
"All these Muslims are coming to take away our country. Vote to stop them. Vote to show respect for our country and our people.","I can't respect a country or a people that stigmatises and treats people of a particular faith less favourably and i certainly wouldn't waste my vote on a party or a candidates that advocates for this.","MUSLIMS"
"muslim folks are taking over europe","Muslims are not taking over Europe, they are just a small part of a much bigger community.","MUSLIMS"
"Islam is a violent religion that promotes terror and war.","The vast majority of Muslims do not call for terrorism and are peaceful. Why shouldn't I be more concerned about the violent islamophobes of the world than about the peaceful Muslims of Europe?","MUSLIMS"
"A nigger has no right to life","Not the best definition of 'white privilege' I've seen, but keep trying...","POC"
"Muslims are not welcome in our country, they are dangerous.","This is not true. Even if a person practices a religion you do not approve of, you cannot expect him or her to be more likely to commit a crime.","MUSLIMS"
"I was abused by a Muslim boyfriend, I don't want to be Muslim.","Not all Muslims rape and molest people. But if it is a community you don't want to be in, it is your free choice.","MUSLIMS"
"Rape? Sometimes women have it coming!","A woman has every right to her own body, and she should be allowed to make her own decisions.","WOMEN"
"The world would be a better place without immigrants, we would be a lot better off without them.","Why? Because without immigrants you think you would be in a more hospitable place to live? I tell you this: if we didn't have open borders, then there would be no migration, but also there would not be trade and progress, and we wouldn't be living in the 21st century.","MIGRANTS"
"Women are essentially childlike, they remain this way most of their lives. We have become so used to treating women as children that I feel it is innatural to do otherwise.","Women are human, and as such they are capable of feeling emotions and being sensitive and caring for others, without being childlike.","WOMEN"
"I miss the good old days when the West was ruled by whites, and blacks were subjugated.","History shows that people rise up against injustice and oppression. You should be proud to be a member of a civilized society where we are all equal.","POC"
"Feminism will destroy our culture.","Feminism is a theory and a movement about the oppression and exploitation of women, not an enemy of the state and culture.","WOMEN"
"Jews control the financial world, Hollywood, academia, and most importantly: government.","Even if Jews controlled the financial world, Hollywood, academia, and the whole solar system, it doesn't mean they are evil, privileged, or greedy people. Do you have any evidence for your statement?","JEWS"
"Trans men are neither male nor female, therefore they're not humans.","If you want to an absurd perspective about a whole community, it's not fine. This attitude seems to be everywhere: sometimes people have to suffer if they are ""that kind of person"", as is the case in this examles, where a gender identity is often used to limit a person's rights. This shouldn't happen.","LGBT+"
"The west has allowed feminism to take over our countries and is now poisoning our children's brains.","The western world is aiming to be equal and diverse. It is no secret that feminism fights for the same thing.","WOMEN"
"I hate when people fight stereotypes. We are different. Blacks are a different color and shouldn't live with us.","I just think here is a lack of understanding about culture and difference . Isn't it time to focus upon what unites us, rather than sowing division?","POC"
"LGBTs are a drain on society. Their sexual preferences are not our business.","You are correctly referring to their sexual preferences, that is their affair. How do you think they are a 'drain' upon society by minding their own business?","LGBT+"
"Blacks are a bunch of crooks and sex offenders. GThey were good only as slaves.","In modern-day societies there is no room for racism. Slavery was an abomination that should never have taken place.","POC"
"I'm tired of Islam: it is being used by people to justify violence against people of other faiths.","This is not how it works in Islam. What you are saying is that all Muslims are inherently violent people, but this is not realistic nor founded upon fact.","MUSLIMS"
"Just because we accept homosexuality doesn't mean we have to accept transgenders as well.","I think transgender people should be accepted on the same basis as anyone else, they are just less comfortable with the gender they were assigned at birth.","LGBT+"
"These crazy feminists want to turn our country into a shithole.","Most countries in the world have laws that specifically protect women's rights: this doesn't seem a nightmare scenario.","WOMEN"
"Islam is a terrible and dangerous ideology that promotes murder, rape and violence towards women and gays.","All religions have their bad parts if look with a modern eye. But no religion promotes acts of terror and violence like the ones you said.","MUSLIMS"
"Migrants are a threat and we should expel them all.","We have to stop being afraid and opening our hearts to other cultures. We cannot allow prejudice to define us.","MIGRANTS"
